run_id,timestamp,status,objective_value,model_file_path,model_data_path,parameters,constraints,variables,pulp_model_execution_time
baseline_run,2025-06-02T18:40:00.836731,Optimal,241.07,models/VRP/vrp_model.py,models/VRP/data/vrp_data_10cust_2veh_50cap.json,"{""coords"": [[37.454011884736246, 95.07143064099162], [73.1993941811405, 59.86584841970366], [15.601864044243651, 15.599452033620265], [5.8083612168199465, 86.61761457749351], [60.11150117432088, 70.80725777960456], [2.0584494295802447, 96.99098521619943]], ""distance"": {""0"": {""0"": 0.0, ""1"": 50.17, ""2"": 82.42, ""3"": 32.76, ""4"": 33.2, ""5"": 35.45}, ""1"": {""0"": 50.17, ""1"": 0.0, ""2"": 72.64, ""3"": 72.51, ""4"": 17.06, ""5"": 80.25}, ""2"": {""0"": 82.42, ""1"": 72.64, ""2"": 0.0, ""3"": 71.69, ""4"": 70.92, ""5"": 82.51}, ""3"": {""0"": 32.76, ""1"": 72.51, ""2"": 71.69, ""3"": 0.0, ""4"": 56.56, ""5"": 11.03}, ""4"": {""0"": 33.2, ""1"": 17.06, ""2"": 70.92, ""3"": 56.56, ""4"": 0.0, ""5"": 63.68}, ""5"": {""0"": 35.45, ""1"": 80.25, ""2"": 82.51, ""3"": 11.03, ""4"": 63.68, ""5"": 0.0}}, ""demand"": {""0"": 0, ""1"": 6, ""2"": 2, ""3"": 5, ""4"": 1, ""5"": 6}, ""depot"": 0, ""K"": 2, ""Q"": 50}","{""OutDeg_1"": ""x_1_0 + x_1_2 + x_1_3 + x_1_4 + x_1_5 = 1"", ""InDeg_1"": ""x_0_1 + x_2_1 + x_3_1 + x_4_1 + x_5_1 = 1"", ""OutDeg_2"": ""x_2_0 + x_2_1 + x_2_3 + x_2_4 + x_2_5 = 1"", ""InDeg_2"": ""x_0_2 + x_1_2 + x_3_2 + x_4_2 + x_5_2 = 1"", ""OutDeg_3"": ""x_3_0 + x_3_1 + x_3_2 + x_3_4 + x_3_5 = 1"", ""InDeg_3"": ""x_0_3 + x_1_3 + x_2_3 + x_4_3 + x_5_3 = 1"", ""OutDeg_4"": ""x_4_0 + x_4_1 + x_4_2 + x_4_3 + x_4_5 = 1"", ""InDeg_4"": ""x_0_4 + x_1_4 + x_2_4 + x_3_4 + x_5_4 = 1"", ""OutDeg_5"": ""x_5_0 + x_5_1 + x_5_2 + x_5_3 + x_5_4 = 1"", ""InDeg_5"": ""x_0_5 + x_1_5 + x_2_5 + x_3_5 + x_4_5 = 1"", ""DepotOut"": ""x_0_1 + x_0_2 + x_0_3 + x_0_4 + x_0_5 <= 2"", ""DepotIn"": ""x_1_0 + x_2_0 + x_3_0 + x_4_0 + x_5_0 <= 2"", ""MTZ_depot"": ""u_0 = 0"", ""MTZ_1_2"": ""u_1 - u_2 + 5*x_1_2 <= 4"", ""MTZ_1_3"": ""u_1 - u_3 + 5*x_1_3 <= 4"", ""MTZ_1_4"": ""u_1 - u_4 + 5*x_1_4 <= 4"", ""MTZ_1_5"": ""u_1 - u_5 + 5*x_1_5 <= 4"", ""MTZ_2_1"": ""-u_1 + u_2 + 5*x_2_1 <= 4"", ""MTZ_2_3"": ""u_2 - u_3 + 5*x_2_3 <= 4"", ""MTZ_2_4"": ""u_2 - u_4 + 5*x_2_4 <= 4"", ""MTZ_2_5"": ""u_2 - u_5 + 5*x_2_5 <= 4"", ""MTZ_3_1"": ""-u_1 + u_3 + 5*x_3_1 <= 4"", ""MTZ_3_2"": ""-u_2 + u_3 + 5*x_3_2 <= 4"", ""MTZ_3_4"": ""u_3 - u_4 + 5*x_3_4 <= 4"", ""MTZ_3_5"": ""u_3 - u_5 + 5*x_3_5 <= 4"", ""MTZ_4_1"": ""-u_1 + u_4 + 5*x_4_1 <= 4"", ""MTZ_4_2"": ""-u_2 + u_4 + 5*x_4_2 <= 4"", ""MTZ_4_3"": ""-u_3 + u_4 + 5*x_4_3 <= 4"", ""MTZ_4_5"": ""u_4 - u_5 + 5*x_4_5 <= 4"", ""MTZ_5_1"": ""-u_1 + u_5 + 5*x_5_1 <= 4"", ""MTZ_5_2"": ""-u_2 + u_5 + 5*x_5_2 <= 4"", ""MTZ_5_3"": ""-u_3 + u_5 + 5*x_5_3 <= 4"", ""MTZ_5_4"": ""-u_4 + u_5 + 5*x_5_4 <= 4"", ""TotalVehicleCapacity"": ""0 <= 80"", ""CapLink_1_2"": ""load_1 - load_2 + 50*x_1_2 <= 48"", ""CapLink_1_3"": ""load_1 - load_3 + 50*x_1_3 <= 45"", ""CapLink_1_4"": ""load_1 - load_4 + 50*x_1_4 <= 49"", ""CapLink_1_5"": ""load_1 - load_5 + 50*x_1_5 <= 44"", ""CapLink_2_1"": ""-load_1 + load_2 + 50*x_2_1 <= 44"", ""CapLink_2_3"": ""load_2 - load_3 + 50*x_2_3 <= 45"", ""CapLink_2_4"": ""load_2 - load_4 + 50*x_2_4 <= 49"", ""CapLink_2_5"": ""load_2 - load_5 + 50*x_2_5 <= 44"", ""CapLink_3_1"": ""-load_1 + load_3 + 50*x_3_1 <= 44"", ""CapLink_3_2"": ""-load_2 + load_3 + 50*x_3_2 <= 48"", ""CapLink_3_4"": ""load_3 - load_4 + 50*x_3_4 <= 49"", ""CapLink_3_5"": ""load_3 - load_5 + 50*x_3_5 <= 44"", ""CapLink_4_1"": ""-load_1 + load_4 + 50*x_4_1 <= 44"", ""CapLink_4_2"": ""-load_2 + load_4 + 50*x_4_2 <= 48"", ""CapLink_4_3"": ""-load_3 + load_4 + 50*x_4_3 <= 45"", ""CapLink_4_5"": ""load_4 - load_5 + 50*x_4_5 <= 44"", ""CapLink_5_1"": ""-load_1 + load_5 + 50*x_5_1 <= 44"", ""CapLink_5_2"": ""-load_2 + load_5 + 50*x_5_2 <= 48"", ""CapLink_5_3"": ""-load_3 + load_5 + 50*x_5_3 <= 45"", ""CapLink_5_4"": ""-load_4 + load_5 + 50*x_5_4 <= 49"", ""InitLoad_1"": ""load_1 - 6*x_0_1 >= 0"", ""InitLoad_2"": ""load_2 - 2*x_0_2 >= 0"", ""InitLoad_3"": ""load_3 - 5*x_0_3 >= 0"", ""InitLoad_4"": ""load_4 - x_0_4 >= 0"", ""InitLoad_5"": ""load_5 - 6*x_0_5 >= 0"", ""Load_depot"": ""load_0 = 0""}","{""load_0"": 0.0, ""load_1"": 7.0, ""load_2"": 9.0, ""load_3"": 14.0, ""load_4"": 1.0, ""load_5"": 50.0, ""u_0"": 0.0, ""u_1"": 1.0, ""u_2"": 2.0, ""u_3"": 3.0, ""u_4"": 0.0, ""u_5"": 4.0, ""x_0_1"": 0.0, ""x_0_2"": 0.0, ""x_0_3"": 0.0, ""x_0_4"": 1.0, ""x_0_5"": 0.0, ""x_1_0"": 0.0, ""x_1_2"": 1.0, ""x_1_3"": 0.0, ""x_1_4"": 0.0, ""x_1_5"": 0.0, ""x_2_0"": 0.0, ""x_2_1"": 0.0, ""x_2_3"": 1.0, ""x_2_4"": 0.0, ""x_2_5"": 0.0, ""x_3_0"": 0.0, ""x_3_1"": 0.0, ""x_3_2"": 0.0, ""x_3_4"": 0.0, ""x_3_5"": 1.0, ""x_4_0"": 0.0, ""x_4_1"": 1.0, ""x_4_2"": 0.0, ""x_4_3"": 0.0, ""x_4_5"": 0.0, ""x_5_0"": 1.0, ""x_5_1"": 0.0, ""x_5_2"": 0.0, ""x_5_3"": 0.0, ""x_5_4"": 0.0}",0.0016646385192871
baseline_run,2025-06-02T19:25:35.059031,Optimal,241.07,models/VRP/vrp_model.py,models/VRP/data/vrp_data_10cust_2veh_50cap.json,"{""coords"": [[37.454011884736246, 95.07143064099162], [73.1993941811405, 59.86584841970366], [15.601864044243651, 15.599452033620265], [5.8083612168199465, 86.61761457749351], [60.11150117432088, 70.80725777960456], [2.0584494295802447, 96.99098521619943]], ""distance"": {""0"": {""0"": 0.0, ""1"": 50.17, ""2"": 82.42, ""3"": 32.76, ""4"": 33.2, ""5"": 35.45}, ""1"": {""0"": 50.17, ""1"": 0.0, ""2"": 72.64, ""3"": 72.51, ""4"": 17.06, ""5"": 80.25}, ""2"": {""0"": 82.42, ""1"": 72.64, ""2"": 0.0, ""3"": 71.69, ""4"": 70.92, ""5"": 82.51}, ""3"": {""0"": 32.76, ""1"": 72.51, ""2"": 71.69, ""3"": 0.0, ""4"": 56.56, ""5"": 11.03}, ""4"": {""0"": 33.2, ""1"": 17.06, ""2"": 70.92, ""3"": 56.56, ""4"": 0.0, ""5"": 63.68}, ""5"": {""0"": 35.45, ""1"": 80.25, ""2"": 82.51, ""3"": 11.03, ""4"": 63.68, ""5"": 0.0}}, ""demand"": {""0"": 0, ""1"": 6, ""2"": 2, ""3"": 5, ""4"": 1, ""5"": 6}, ""depot"": 0, ""K"": 2, ""Q"": 50}","{""OutDeg_1"": ""x_1_0 + x_1_2 + x_1_3 + x_1_4 + x_1_5 = 1"", ""InDeg_1"": ""x_0_1 + x_2_1 + x_3_1 + x_4_1 + x_5_1 = 1"", ""OutDeg_2"": ""x_2_0 + x_2_1 + x_2_3 + x_2_4 + x_2_5 = 1"", ""InDeg_2"": ""x_0_2 + x_1_2 + x_3_2 + x_4_2 + x_5_2 = 1"", ""OutDeg_3"": ""x_3_0 + x_3_1 + x_3_2 + x_3_4 + x_3_5 = 1"", ""InDeg_3"": ""x_0_3 + x_1_3 + x_2_3 + x_4_3 + x_5_3 = 1"", ""OutDeg_4"": ""x_4_0 + x_4_1 + x_4_2 + x_4_3 + x_4_5 = 1"", ""InDeg_4"": ""x_0_4 + x_1_4 + x_2_4 + x_3_4 + x_5_4 = 1"", ""OutDeg_5"": ""x_5_0 + x_5_1 + x_5_2 + x_5_3 + x_5_4 = 1"", ""InDeg_5"": ""x_0_5 + x_1_5 + x_2_5 + x_3_5 + x_4_5 = 1"", ""DepotOut"": ""x_0_1 + x_0_2 + x_0_3 + x_0_4 + x_0_5 <= 2"", ""DepotIn"": ""x_1_0 + x_2_0 + x_3_0 + x_4_0 + x_5_0 <= 2"", ""MTZ_depot"": ""u_0 = 0"", ""MTZ_1_2"": ""u_1 - u_2 + 5*x_1_2 <= 4"", ""MTZ_1_3"": ""u_1 - u_3 + 5*x_1_3 <= 4"", ""MTZ_1_4"": ""u_1 - u_4 + 5*x_1_4 <= 4"", ""MTZ_1_5"": ""u_1 - u_5 + 5*x_1_5 <= 4"", ""MTZ_2_1"": ""-u_1 + u_2 + 5*x_2_1 <= 4"", ""MTZ_2_3"": ""u_2 - u_3 + 5*x_2_3 <= 4"", ""MTZ_2_4"": ""u_2 - u_4 + 5*x_2_4 <= 4"", ""MTZ_2_5"": ""u_2 - u_5 + 5*x_2_5 <= 4"", ""MTZ_3_1"": ""-u_1 + u_3 + 5*x_3_1 <= 4"", ""MTZ_3_2"": ""-u_2 + u_3 + 5*x_3_2 <= 4"", ""MTZ_3_4"": ""u_3 - u_4 + 5*x_3_4 <= 4"", ""MTZ_3_5"": ""u_3 - u_5 + 5*x_3_5 <= 4"", ""MTZ_4_1"": ""-u_1 + u_4 + 5*x_4_1 <= 4"", ""MTZ_4_2"": ""-u_2 + u_4 + 5*x_4_2 <= 4"", ""MTZ_4_3"": ""-u_3 + u_4 + 5*x_4_3 <= 4"", ""MTZ_4_5"": ""u_4 - u_5 + 5*x_4_5 <= 4"", ""MTZ_5_1"": ""-u_1 + u_5 + 5*x_5_1 <= 4"", ""MTZ_5_2"": ""-u_2 + u_5 + 5*x_5_2 <= 4"", ""MTZ_5_3"": ""-u_3 + u_5 + 5*x_5_3 <= 4"", ""MTZ_5_4"": ""-u_4 + u_5 + 5*x_5_4 <= 4"", ""TotalVehicleCapacity"": ""0 <= 80"", ""CapLink_1_2"": ""load_1 - load_2 + 50*x_1_2 <= 48"", ""CapLink_1_3"": ""load_1 - load_3 + 50*x_1_3 <= 45"", ""CapLink_1_4"": ""load_1 - load_4 + 50*x_1_4 <= 49"", ""CapLink_1_5"": ""load_1 - load_5 + 50*x_1_5 <= 44"", ""CapLink_2_1"": ""-load_1 + load_2 + 50*x_2_1 <= 44"", ""CapLink_2_3"": ""load_2 - load_3 + 50*x_2_3 <= 45"", ""CapLink_2_4"": ""load_2 - load_4 + 50*x_2_4 <= 49"", ""CapLink_2_5"": ""load_2 - load_5 + 50*x_2_5 <= 44"", ""CapLink_3_1"": ""-load_1 + load_3 + 50*x_3_1 <= 44"", ""CapLink_3_2"": ""-load_2 + load_3 + 50*x_3_2 <= 48"", ""CapLink_3_4"": ""load_3 - load_4 + 50*x_3_4 <= 49"", ""CapLink_3_5"": ""load_3 - load_5 + 50*x_3_5 <= 44"", ""CapLink_4_1"": ""-load_1 + load_4 + 50*x_4_1 <= 44"", ""CapLink_4_2"": ""-load_2 + load_4 + 50*x_4_2 <= 48"", ""CapLink_4_3"": ""-load_3 + load_4 + 50*x_4_3 <= 45"", ""CapLink_4_5"": ""load_4 - load_5 + 50*x_4_5 <= 44"", ""CapLink_5_1"": ""-load_1 + load_5 + 50*x_5_1 <= 44"", ""CapLink_5_2"": ""-load_2 + load_5 + 50*x_5_2 <= 48"", ""CapLink_5_3"": ""-load_3 + load_5 + 50*x_5_3 <= 45"", ""CapLink_5_4"": ""-load_4 + load_5 + 50*x_5_4 <= 49"", ""InitLoad_1"": ""load_1 - 6*x_0_1 >= 0"", ""InitLoad_2"": ""load_2 - 2*x_0_2 >= 0"", ""InitLoad_3"": ""load_3 - 5*x_0_3 >= 0"", ""InitLoad_4"": ""load_4 - x_0_4 >= 0"", ""InitLoad_5"": ""load_5 - 6*x_0_5 >= 0"", ""Load_depot"": ""load_0 = 0""}","{""load_0"": 0.0, ""load_1"": 7.0, ""load_2"": 9.0, ""load_3"": 14.0, ""load_4"": 1.0, ""load_5"": 50.0, ""u_0"": 0.0, ""u_1"": 1.0, ""u_2"": 2.0, ""u_3"": 3.0, ""u_4"": 0.0, ""u_5"": 4.0, ""x_0_1"": 0.0, ""x_0_2"": 0.0, ""x_0_3"": 0.0, ""x_0_4"": 1.0, ""x_0_5"": 0.0, ""x_1_0"": 0.0, ""x_1_2"": 1.0, ""x_1_3"": 0.0, ""x_1_4"": 0.0, ""x_1_5"": 0.0, ""x_2_0"": 0.0, ""x_2_1"": 0.0, ""x_2_3"": 1.0, ""x_2_4"": 0.0, ""x_2_5"": 0.0, ""x_3_0"": 0.0, ""x_3_1"": 0.0, ""x_3_2"": 0.0, ""x_3_4"": 0.0, ""x_3_5"": 1.0, ""x_4_0"": 0.0, ""x_4_1"": 1.0, ""x_4_2"": 0.0, ""x_4_3"": 0.0, ""x_4_5"": 0.0, ""x_5_0"": 1.0, ""x_5_1"": 0.0, ""x_5_2"": 0.0, ""x_5_3"": 0.0, ""x_5_4"": 0.0}",0.0013296604156494
baseline_run,2025-06-02T19:28:06.021420,Optimal,241.07,models/VRP/vrp_model.py,models/VRP/data/vrp_data_10cust_2veh_50cap.json,"{""coords"": [[37.454011884736246, 95.07143064099162], [73.1993941811405, 59.86584841970366], [15.601864044243651, 15.599452033620265], [5.8083612168199465, 86.61761457749351], [60.11150117432088, 70.80725777960456], [2.0584494295802447, 96.99098521619943]], ""distance"": {""0"": {""0"": 0.0, ""1"": 50.17, ""2"": 82.42, ""3"": 32.76, ""4"": 33.2, ""5"": 35.45}, ""1"": {""0"": 50.17, ""1"": 0.0, ""2"": 72.64, ""3"": 72.51, ""4"": 17.06, ""5"": 80.25}, ""2"": {""0"": 82.42, ""1"": 72.64, ""2"": 0.0, ""3"": 71.69, ""4"": 70.92, ""5"": 82.51}, ""3"": {""0"": 32.76, ""1"": 72.51, ""2"": 71.69, ""3"": 0.0, ""4"": 56.56, ""5"": 11.03}, ""4"": {""0"": 33.2, ""1"": 17.06, ""2"": 70.92, ""3"": 56.56, ""4"": 0.0, ""5"": 63.68}, ""5"": {""0"": 35.45, ""1"": 80.25, ""2"": 82.51, ""3"": 11.03, ""4"": 63.68, ""5"": 0.0}}, ""demand"": {""0"": 0, ""1"": 6, ""2"": 2, ""3"": 5, ""4"": 1, ""5"": 6}, ""depot"": 0, ""K"": 2, ""Q"": 50}","{""OutDeg_1"": ""x_1_0 + x_1_2 + x_1_3 + x_1_4 + x_1_5 = 1"", ""InDeg_1"": ""x_0_1 + x_2_1 + x_3_1 + x_4_1 + x_5_1 = 1"", ""OutDeg_2"": ""x_2_0 + x_2_1 + x_2_3 + x_2_4 + x_2_5 = 1"", ""InDeg_2"": ""x_0_2 + x_1_2 + x_3_2 + x_4_2 + x_5_2 = 1"", ""OutDeg_3"": ""x_3_0 + x_3_1 + x_3_2 + x_3_4 + x_3_5 = 1"", ""InDeg_3"": ""x_0_3 + x_1_3 + x_2_3 + x_4_3 + x_5_3 = 1"", ""OutDeg_4"": ""x_4_0 + x_4_1 + x_4_2 + x_4_3 + x_4_5 = 1"", ""InDeg_4"": ""x_0_4 + x_1_4 + x_2_4 + x_3_4 + x_5_4 = 1"", ""OutDeg_5"": ""x_5_0 + x_5_1 + x_5_2 + x_5_3 + x_5_4 = 1"", ""InDeg_5"": ""x_0_5 + x_1_5 + x_2_5 + x_3_5 + x_4_5 = 1"", ""DepotOut"": ""x_0_1 + x_0_2 + x_0_3 + x_0_4 + x_0_5 <= 2"", ""DepotIn"": ""x_1_0 + x_2_0 + x_3_0 + x_4_0 + x_5_0 <= 2"", ""MTZ_depot"": ""u_0 = 0"", ""MTZ_1_2"": ""u_1 - u_2 + 5*x_1_2 <= 4"", ""MTZ_1_3"": ""u_1 - u_3 + 5*x_1_3 <= 4"", ""MTZ_1_4"": ""u_1 - u_4 + 5*x_1_4 <= 4"", ""MTZ_1_5"": ""u_1 - u_5 + 5*x_1_5 <= 4"", ""MTZ_2_1"": ""-u_1 + u_2 + 5*x_2_1 <= 4"", ""MTZ_2_3"": ""u_2 - u_3 + 5*x_2_3 <= 4"", ""MTZ_2_4"": ""u_2 - u_4 + 5*x_2_4 <= 4"", ""MTZ_2_5"": ""u_2 - u_5 + 5*x_2_5 <= 4"", ""MTZ_3_1"": ""-u_1 + u_3 + 5*x_3_1 <= 4"", ""MTZ_3_2"": ""-u_2 + u_3 + 5*x_3_2 <= 4"", ""MTZ_3_4"": ""u_3 - u_4 + 5*x_3_4 <= 4"", ""MTZ_3_5"": ""u_3 - u_5 + 5*x_3_5 <= 4"", ""MTZ_4_1"": ""-u_1 + u_4 + 5*x_4_1 <= 4"", ""MTZ_4_2"": ""-u_2 + u_4 + 5*x_4_2 <= 4"", ""MTZ_4_3"": ""-u_3 + u_4 + 5*x_4_3 <= 4"", ""MTZ_4_5"": ""u_4 - u_5 + 5*x_4_5 <= 4"", ""MTZ_5_1"": ""-u_1 + u_5 + 5*x_5_1 <= 4"", ""MTZ_5_2"": ""-u_2 + u_5 + 5*x_5_2 <= 4"", ""MTZ_5_3"": ""-u_3 + u_5 + 5*x_5_3 <= 4"", ""MTZ_5_4"": ""-u_4 + u_5 + 5*x_5_4 <= 4"", ""TotalVehicleCapacity"": ""0 <= 80"", ""CapLink_1_2"": ""load_1 - load_2 + 50*x_1_2 <= 48"", ""CapLink_1_3"": ""load_1 - load_3 + 50*x_1_3 <= 45"", ""CapLink_1_4"": ""load_1 - load_4 + 50*x_1_4 <= 49"", ""CapLink_1_5"": ""load_1 - load_5 + 50*x_1_5 <= 44"", ""CapLink_2_1"": ""-load_1 + load_2 + 50*x_2_1 <= 44"", ""CapLink_2_3"": ""load_2 - load_3 + 50*x_2_3 <= 45"", ""CapLink_2_4"": ""load_2 - load_4 + 50*x_2_4 <= 49"", ""CapLink_2_5"": ""load_2 - load_5 + 50*x_2_5 <= 44"", ""CapLink_3_1"": ""-load_1 + load_3 + 50*x_3_1 <= 44"", ""CapLink_3_2"": ""-load_2 + load_3 + 50*x_3_2 <= 48"", ""CapLink_3_4"": ""load_3 - load_4 + 50*x_3_4 <= 49"", ""CapLink_3_5"": ""load_3 - load_5 + 50*x_3_5 <= 44"", ""CapLink_4_1"": ""-load_1 + load_4 + 50*x_4_1 <= 44"", ""CapLink_4_2"": ""-load_2 + load_4 + 50*x_4_2 <= 48"", ""CapLink_4_3"": ""-load_3 + load_4 + 50*x_4_3 <= 45"", ""CapLink_4_5"": ""load_4 - load_5 + 50*x_4_5 <= 44"", ""CapLink_5_1"": ""-load_1 + load_5 + 50*x_5_1 <= 44"", ""CapLink_5_2"": ""-load_2 + load_5 + 50*x_5_2 <= 48"", ""CapLink_5_3"": ""-load_3 + load_5 + 50*x_5_3 <= 45"", ""CapLink_5_4"": ""-load_4 + load_5 + 50*x_5_4 <= 49"", ""InitLoad_1"": ""load_1 - 6*x_0_1 >= 0"", ""InitLoad_2"": ""load_2 - 2*x_0_2 >= 0"", ""InitLoad_3"": ""load_3 - 5*x_0_3 >= 0"", ""InitLoad_4"": ""load_4 - x_0_4 >= 0"", ""InitLoad_5"": ""load_5 - 6*x_0_5 >= 0"", ""Load_depot"": ""load_0 = 0""}","{""load_0"": 0.0, ""load_1"": 7.0, ""load_2"": 9.0, ""load_3"": 14.0, ""load_4"": 1.0, ""load_5"": 50.0, ""u_0"": 0.0, ""u_1"": 1.0, ""u_2"": 2.0, ""u_3"": 3.0, ""u_4"": 0.0, ""u_5"": 4.0, ""x_0_1"": 0.0, ""x_0_2"": 0.0, ""x_0_3"": 0.0, ""x_0_4"": 1.0, ""x_0_5"": 0.0, ""x_1_0"": 0.0, ""x_1_2"": 1.0, ""x_1_3"": 0.0, ""x_1_4"": 0.0, ""x_1_5"": 0.0, ""x_2_0"": 0.0, ""x_2_1"": 0.0, ""x_2_3"": 1.0, ""x_2_4"": 0.0, ""x_2_5"": 0.0, ""x_3_0"": 0.0, ""x_3_1"": 0.0, ""x_3_2"": 0.0, ""x_3_4"": 0.0, ""x_3_5"": 1.0, ""x_4_0"": 0.0, ""x_4_1"": 1.0, ""x_4_2"": 0.0, ""x_4_3"": 0.0, ""x_4_5"": 0.0, ""x_5_0"": 1.0, ""x_5_1"": 0.0, ""x_5_2"": 0.0, ""x_5_3"": 0.0, ""x_5_4"": 0.0}",0.0013706684112548828
